SEASON_YEAR,GAME_ID,GAME_DATE,HOME_TEAM,HOME_TEAM_ABBREVIATION,AWAY_TEAM,AWAY_TEAM_ABBREVIATION,HOME_POINTS,AWAY_POINTS,WINNER
2010-11,21000001,2010-10-26,Boston Celtics,BOS,Miami Heat,MIA,88,80,Boston Celtics
2010-11,21000002,2010-10-26,Portland Trail Blazers,POR,Phoenix Suns,PHX,106,92,Portland Trail Blazers
2010-11,21000003,2010-10-26,Los Angeles Lakers,LAL,Houston Rockets,HOU,112,110,Los Angeles Lakers
2010-11,21000004,2010-10-27,Cleveland Cavaliers,CLE,Boston Celtics,BOS,95,87,Cleveland Cavaliers
2010-11,21000005,2010-10-27,New Jersey Nets,NJN,Detroit Pistons,DET,101,98,New Jersey Nets
2010-11,21000006,2010-10-27,Philadelphia 76ers,PHI,Miami Heat,MIA,87,97,Miami Heat
2010-11,21000007,2010-10-27,Toronto Raptors,TOR,New York Knicks,NYK,93,98,New York Knicks
2010-11,21000008,2010-10-27,Memphis Grizzlies,MEM,Atlanta Hawks,ATL,104,119,Atlanta Hawks
2010-11,21000009,2010-10-27,Minnesota Timberwolves,MIN,Sacramento Kings,SAC,116,117,Sacramento Kings
2010-11,21000010,2010-10-27,New Orleans Hornets,NOH,Milwaukee Bucks,MIL,95,91,New Orleans Hornets
2010-11,21000011,2010-10-27,Oklahoma City Thunder,OKC,Chicago Bulls,CHI,106,95,Oklahoma City Thunder
2010-11,21000012,2010-10-27,Dallas Mavericks,DAL,Charlotte Bobcats,CHA,101,86,Dallas Mavericks
2010-11,21000013,2010-10-27,San Antonio Spurs,SAS,Indiana Pacers,IND,122,109,San Antonio Spurs
2010-11,21000014,2010-10-27,Denver Nuggets,DEN,Utah Jazz,UTA,110,88,Denver Nuggets
2010-11,21000015,2010-10-27,Golden State Warriors,GSW,Houston Rockets,HOU,132,128,Golden State Warriors
2010-11,21000016,2010-10-27,Los Angeles Clippers,LAC,Portland Trail Blazers,POR,88,98,Portland Trail Blazers
2010-11,21000017,2010-10-28,Orlando Magic,ORL,Washington Wizards,WAS,112,83,Orlando Magic
2010-11,21000018,2010-10-28,Utah Jazz,UTA,Phoenix Suns,PHX,94,110,Phoenix Suns
2010-11,21000019,2010-10-29,Charlotte Bobcats,CHA,Indiana Pacers,IND,101,104,Indiana Pacers
2010-11,21000020,2010-10-29,New Jersey Nets,NJN,Sacramento Kings,SAC,106,100,New Jersey Nets
2010-11,21000021,2010-10-29,Philadelphia 76ers,PHI,Atlanta Hawks,ATL,101,104,Atlanta Hawks
2010-11,21000022,2010-10-29,Toronto Raptors,TOR,Cleveland Cavaliers,CLE,101,81,Toronto Raptors
2010-11,21000023,2010-10-29,Boston Celtics,BOS,New York Knicks,NYK,105,101,Boston Celtics
2010-11,21000024,2010-10-29,Detroit Pistons,DET,Oklahoma City Thunder,OKC,104,105,Oklahoma City Thunder
2010-11,21000025,2010-10-29,Miami Heat,MIA,Orlando Magic,ORL,96,70,Miami Heat
2010-11,21000026,2010-10-29,Minnesota Timberwolves,MIN,Milwaukee Bucks,MIL,96,85,Minnesota Timberwolves
2010-11,21000027,2010-10-29,New Orleans Hornets,NOH,Denver Nuggets,DEN,101,95,New Orleans Hornets
2010-11,21000028,2010-10-29,Dallas Mavericks,DAL,Memphis Grizzlies,MEM,90,91,Memphis Grizzlies
2010-11,21000029,2010-10-29,Golden State Warriors,GSW,Los Angeles Clippers,LAC,109,91,Golden State Warriors
2010-11,21000030,2010-10-29,Phoenix Suns,PHX,Los Angeles Lakers,LAL,106,114,Los Angeles Lakers
2010-11,21000031,2010-10-30,Atlanta Hawks,ATL,Washington Wizards,WAS,99,95,Atlanta Hawks
2010-11,21000032,2010-10-30,Cleveland Cavaliers,CLE,Sacramento Kings,SAC,104,107,Sacramento Kings
2010-11,21000033,2010-10-30,New York Knicks,NYK,Portland Trail Blazers,POR,95,100,Portland Trail Blazers
2010-11,21000034,2010-10-30,Indiana Pacers,IND,Philadelphia 76ers,PHI,99,86,Indiana Pacers
2010-11,21000035,2010-10-30,Chicago Bulls,CHI,Detroit Pistons,DET,101,91,Chicago Bulls
2010-11,21000036,2010-10-30,Memphis Grizzlies,MEM,Minnesota Timberwolves,MIN,109,89,Memphis Grizzlies
2010-11,21000037,2010-10-30,Houston Rockets,HOU,Denver Nuggets,DEN,94,107,Denver Nuggets
2010-11,21000038,2010-10-30,Milwaukee Bucks,MIL,Charlotte Bobcats,CHA,98,88,Milwaukee Bucks
2010-11,21000039,2010-10-30,San Antonio Spurs,SAS,New Orleans Hornets,NOH,90,99,New Orleans Hornets
2010-11,21000040,2010-10-31,New Jersey Nets,NJN,Miami Heat,MIA,78,101,Miami Heat
2010-11,21000041,2010-10-31,Los Angeles Clippers,LAC,Dallas Mavericks,DAL,83,99,Dallas Mavericks
2010-11,21000042,2010-10-31,Oklahoma City Thunder,OKC,Utah Jazz,UTA,99,120,Utah Jazz
2010-11,21000043,2010-10-31,Los Angeles Lakers,LAL,Golden State Warriors,GSW,107,83,Los Angeles Lakers
2010-11,21000044,2010-11-01,Chicago Bulls,CHI,Portland Trail Blazers,POR,110,98,Chicago Bulls
2010-11,21000045,2010-11-01,Sacramento Kings,SAC,Toronto Raptors,TOR,111,108,Sacramento Kings
2010-11,21000046,2010-11-01,Los Angeles Clippers,LAC,San Antonio Spurs,SAS,88,97,San Antonio Spurs
2010-11,21000047,2010-11-02,Cleveland Cavaliers,CLE,Atlanta Hawks,ATL,88,100,Atlanta Hawks
2010-11,21000048,2010-11-02,Washington Wizards,WAS,Philadelphia 76ers,PHI,116,115,Washington Wizards
2010-11,21000049,2010-11-02,Detroit Pistons,DET,Boston Celtics,BOS,86,109,Boston Celtics
2010-11,21000050,2010-11-02,Miami Heat,MIA,Minnesota Timberwolves,MIN,129,97,Miami Heat
2010-11,21000052,2010-11-02,Milwaukee Bucks,MIL,Portland Trail Blazers,POR,76,90,Portland Trail Blazers
2010-11,21000053,2010-11-02,Los Angeles Lakers,LAL,Memphis Grizzlies,MEM,124,105,Los Angeles Lakers
2010-11,21000054,2010-11-03,Atlanta Hawks,ATL,Detroit Pistons,DET,94,85,Atlanta Hawks
2010-11,21000055,2010-11-03,New Jersey Nets,NJN,Charlotte Bobcats,CHA,83,85,Charlotte Bobcats
2010-11,21000056,2010-11-03,Orlando Magic,ORL,Minnesota Timberwolves,MIN,128,86,Orlando Magic
2010-11,21000057,2010-11-03,Philadelphia 76ers,PHI,Indiana Pacers,IND,101,75,Philadelphia 76ers
2010-11,21000058,2010-11-03,Boston Celtics,BOS,Milwaukee Bucks,MIL,105,102,Boston Celtics
2010-11,21000059,2010-11-03,Houston Rockets,HOU,New Orleans Hornets,NOH,99,107,New Orleans Hornets
2010-11,21000060,2010-11-03,Denver Nuggets,DEN,Dallas Mavericks,DAL,101,102,Dallas Mavericks
2010-11,21000061,2010-11-03,Utah Jazz,UTA,Toronto Raptors,TOR,125,108,Utah Jazz
2010-11,21000062,2010-11-03,Phoenix Suns,PHX,San Antonio Spurs,SAS,110,112,San Antonio Spurs
2010-11,21000063,2010-11-03,Golden State Warriors,GSW,Memphis Grizzlies,MEM,115,109,Golden State Warriors
2010-11,21000064,2010-11-03,Los Angeles Clippers,LAC,Oklahoma City Thunder,OKC,107,92,Los Angeles Clippers
2010-11,21000065,2010-11-03,Sacramento Kings,SAC,Los Angeles Lakers,LAL,100,112,Los Angeles Lakers
2010-11,21000066,2010-11-04,Chicago Bulls,CHI,New York Knicks,NYK,112,120,New York Knicks
2010-11,21000067,2010-11-04,Portland Trail Blazers,POR,Oklahoma City Thunder,OKC,106,107,Oklahoma City Thunder
2010-11,21000068,2010-11-05,Indiana Pacers,IND,Milwaukee Bucks,MIL,90,94,Milwaukee Bucks
2010-11,21000069,2010-11-05,Orlando Magic,ORL,New Jersey Nets,NJN,105,90,Orlando Magic
2010-11,21000070,2010-11-05,Philadelphia 76ers,PHI,Cleveland Cavaliers,CLE,116,123,Cleveland Cavaliers
2010-11,21000071,2010-11-05,Detroit Pistons,DET,Charlotte Bobcats,CHA,97,90,Detroit Pistons
2010-11,21000072,2010-11-05,New York Knicks,NYK,Washington Wizards,WAS,112,91,New York Knicks
2010-11,21000073,2010-11-05,Boston Celtics,BOS,Chicago Bulls,CHI,110,105,Boston Celtics
2010-11,21000074,2010-11-05,Minnesota Timberwolves,MIN,Atlanta Hawks,ATL,103,113,Atlanta Hawks
2010-11,21000075,2010-11-05,New Orleans Hornets,NOH,Miami Heat,MIA,96,93,New Orleans Hornets
2010-11,21000076,2010-11-05,Phoenix Suns,PHX,Memphis Grizzlies,MEM,123,118,Phoenix Suns
2010-11,21000077,2010-11-05,Denver Nuggets,DEN,Los Angeles Clippers,LAC,111,104,Denver Nuggets
2010-11,21000078,2010-11-05,Golden State Warriors,GSW,Utah Jazz,UTA,85,78,Golden State Warriors
2010-11,21000079,2010-11-05,Los Angeles Lakers,LAL,Toronto Raptors,TOR,108,103,Los Angeles Lakers
2010-11,21000080,2010-11-06,Charlotte Bobcats,CHA,Orlando Magic,ORL,88,91,Orlando Magic
2010-11,21000081,2010-11-06,Washington Wizards,WAS,Cleveland Cavaliers,CLE,102,107,Cleveland Cavaliers
2010-11,21000082,2010-11-06,Miami Heat,MIA,New Jersey Nets,NJN,101,89,Miami Heat
2010-11,21000083,2010-11-06,Milwaukee Bucks,MIL,New Orleans Hornets,NOH,81,87,New Orleans Hornets
2010-11,21000084,2010-11-06,San Antonio Spurs,SAS,Houston Rockets,HOU,124,121,San Antonio Spurs
2010-11,21000085,2010-11-06,Dallas Mavericks,DAL,Denver Nuggets,DEN,92,103,Denver Nuggets
2010-11,21000086,2010-11-06,Utah Jazz,UTA,Los Angeles Clippers,LAC,109,107,Utah Jazz
2010-11,21000087,2010-11-06,Portland Trail Blazers,POR,Toronto Raptors,TOR,97,84,Portland Trail Blazers
2010-11,21000088,2010-11-06,Sacramento Kings,SAC,Memphis Grizzlies,MEM,91,100,Memphis Grizzlies
2010-11,21000089,2010-11-07,New York Knicks,NYK,Philadelphia 76ers,PHI,96,106,Philadelphia 76ers
2010-11,21000090,2010-11-07,Atlanta Hawks,ATL,Phoenix Suns,PHX,114,118,Phoenix Suns
2010-11,21000091,2010-11-07,Detroit Pistons,DET,Golden State Warriors,GSW,102,97,Detroit Pistons
2010-11,21000092,2010-11-07,Houston Rockets,HOU,Minnesota Timberwolves,MIN,120,94,Houston Rockets
2010-11,21000093,2010-11-07,Oklahoma City Thunder,OKC,Boston Celtics,BOS,83,92,Boston Celtics
2010-11,21000094,2010-11-07,Los Angeles Lakers,LAL,Portland Trail Blazers,POR,121,96,Los Angeles Lakers
2010-11,21000095,2010-11-08,Charlotte Bobcats,CHA,San Antonio Spurs,SAS,91,95,San Antonio Spurs
2010-11,21000096,2010-11-08,Orlando Magic,ORL,Atlanta Hawks,ATL,93,89,Orlando Magic
2010-11,21000097,2010-11-08,Toronto Raptors,TOR,Golden State Warriors,GSW,102,109,Golden State Warriors
2010-11,21000098,2010-11-08,Chicago Bulls,CHI,Denver Nuggets,DEN,94,92,Chicago Bulls
2010-11,21000099,2010-11-08,Memphis Grizzlies,MEM,Phoenix Suns,PHX,109,99,Memphis Grizzlies
2010-11,21000100,2010-11-08,Dallas Mavericks,DAL,Boston Celtics,BOS,89,87,Dallas Mavericks
2010-11,21000101,2010-11-09,Indiana Pacers,IND,Denver Nuggets,DEN,144,113,Indiana Pacers
2010-11,21000102,2010-11-09,New Jersey Nets,NJN,Cleveland Cavaliers,CLE,91,93,Cleveland Cavaliers
2010-11,21000103,2010-11-09,Miami Heat,MIA,Utah Jazz,UTA,114,116,Utah Jazz
2010-11,21000104,2010-11-09,Milwaukee Bucks,MIL,New York Knicks,NYK,107,80,Milwaukee Bucks
2010-11,21000105,2010-11-09,New Orleans Hornets,NOH,Los Angeles Clippers,LAC,101,82,New Orleans Hornets
2010-11,21000106,2010-11-09,Portland Trail Blazers,POR,Detroit Pistons,DET,100,78,Portland Trail Blazers
2010-11,21000107,2010-11-09,Los Angeles Lakers,LAL,Minnesota Timberwolves,MIN,99,94,Los Angeles Lakers
2010-11,21000108,2010-11-10,Atlanta Hawks,ATL,Milwaukee Bucks,MIL,91,108,Milwaukee Bucks
2010-11,21000109,2010-11-10,Orlando Magic,ORL,Utah Jazz,UTA,94,104,Utah Jazz
2010-11,21000110,2010-11-10,Toronto Raptors,TOR,Charlotte Bobcats,CHA,96,101,Charlotte Bobcats
2010-11,21000111,2010-11-10,Washington Wizards,WAS,Houston Rockets,HOU,98,91,Washington Wizards
2010-11,21000112,2010-11-10,Cleveland Cavaliers,CLE,New Jersey Nets,NJN,87,95,New Jersey Nets
2010-11,21000113,2010-11-10,New York Knicks,NYK,Golden State Warriors,GSW,117,122,Golden State Warriors
2010-11,21000114,2010-11-10,Memphis Grizzlies,MEM,Dallas Mavericks,DAL,91,106,Dallas Mavericks
2010-11,21000115,2010-11-10,Oklahoma City Thunder,OKC,Philadelphia 76ers,PHI,109,103,Oklahoma City Thunder
2010-11,21000116,2010-11-10,San Antonio Spurs,SAS,Los Angeles Clippers,LAC,107,95,San Antonio Spurs
2010-11,21000117,2010-11-10,Sacramento Kings,SAC,Minnesota Timberwolves,MIN,89,98,Minnesota Timberwolves
2010-11,21000118,2010-11-11,Miami Heat,MIA,Boston Celtics,BOS,107,112,Boston Celtics
2010-11,21000119,2010-11-11,Chicago Bulls,CHI,Golden State Warriors,GSW,120,90,Chicago Bulls
2010-11,21000120,2010-11-11,Denver Nuggets,DEN,Los Angeles Lakers,LAL,118,112,Denver Nuggets
2010-11,21000121,2010-11-12,Atlanta Hawks,ATL,Utah Jazz,UTA,86,90,Utah Jazz
2010-11,21000122,2010-11-12,Indiana Pacers,IND,Houston Rockets,HOU,99,102,Houston Rockets
2010-11,21000123,2010-11-12,Orlando Magic,ORL,Toronto Raptors,TOR,106,110,Toronto Raptors
2010-11,21000124,2010-11-12,Washington Wizards,WAS,Charlotte Bobcats,CHA,85,93,Charlotte Bobcats
2010-11,21000125,2010-11-12,Minnesota Timberwolves,MIN,New York Knicks,NYK,112,103,Minnesota Timberwolves
2010-11,21000126,2010-11-12,Dallas Mavericks,DAL,Philadelphia 76ers,PHI,99,90,Dallas Mavericks
2010-11,21000127,2010-11-12,Phoenix Suns,PHX,Sacramento Kings,SAC,103,89,Phoenix Suns
2010-11,21000128,2010-11-12,Oklahoma City Thunder,OKC,Portland Trail Blazers,POR,110,108,Oklahoma City Thunder
2010-11,21000129,2010-11-12,Los Angeles Clippers,LAC,Detroit Pistons,DET,107,113,Detroit Pistons
2010-11,21000130,2010-11-13,Charlotte Bobcats,CHA,Utah Jazz,UTA,95,96,Utah Jazz
2010-11,21000131,2010-11-13,New Jersey Nets,NJN,Orlando Magic,ORL,90,91,Orlando Magic
2010-11,21000132,2010-11-13,Cleveland Cavaliers,CLE,Indiana Pacers,IND,85,99,Indiana Pacers
2010-11,21000133,2010-11-13,Miami Heat,MIA,Toronto Raptors,TOR,109,100,Miami Heat
2010-11,21000134,2010-11-13,Chicago Bulls,CHI,Washington Wizards,WAS,103,96,Chicago Bulls
2010-11,21000135,2010-11-13,Memphis Grizzlies,MEM,Boston Celtics,BOS,110,116,Boston Celtics
2010-11,21000136,2010-11-13,New Orleans Hornets,NOH,Portland Trail Blazers,POR,107,87,New Orleans Hornets
2010-11,21000137,2010-11-13,Milwaukee Bucks,MIL,Golden State Warriors,GSW,79,72,Milwaukee Bucks
2010-11,21000138,2010-11-13,San Antonio Spurs,SAS,Philadelphia 76ers,PHI,116,93,San Antonio Spurs
2010-11,21000139,2010-11-14,Atlanta Hawks,ATL,Minnesota Timberwolves,MIN,111,105,Atlanta Hawks
2010-11,21000140,2010-11-14,Sacramento Kings,SAC,Detroit Pistons,DET,94,100,Detroit Pistons
2010-11,21000141,2010-11-14,Oklahoma City Thunder,OKC,San Antonio Spurs,SAS,104,117,San Antonio Spurs
2010-11,21000142,2010-11-14,New York Knicks,NYK,Houston Rockets,HOU,96,104,Houston Rockets
2010-11,21000143,2010-11-14,Los Angeles Lakers,LAL,Phoenix Suns,PHX,116,121,Phoenix Suns
2010-11,21000144,2010-11-15,Charlotte Bobcats,CHA,Minnesota Timberwolves,MIN,113,110,Charlotte Bobcats
2010-11,21000145,2010-11-15,Orlando Magic,ORL,Memphis Grizzlies,MEM,89,72,Orlando Magic
2010-11,21000146,2010-11-15,Dallas Mavericks,DAL,New Orleans Hornets,NOH,98,95,Dallas Mavericks
2010-11,21000147,2010-11-15,Phoenix Suns,PHX,Denver Nuggets,DEN,100,94,Phoenix Suns
2010-11,21000148,2010-11-15,Utah Jazz,UTA,Oklahoma City Thunder,OKC,108,115,Oklahoma City Thunder
2010-11,21000149,2010-11-15,Golden State Warriors,GSW,Detroit Pistons,DET,101,97,Golden State Warriors
2010-11,21000150,2010-11-15,Los Angeles Clippers,LAC,New Jersey Nets,NJN,96,110,New Jersey Nets
2010-11,21000151,2010-11-16,Cleveland Cavaliers,CLE,Philadelphia 76ers,PHI,101,93,Cleveland Cavaliers
2010-11,21000152,2010-11-16,Indiana Pacers,IND,Atlanta Hawks,ATL,92,102,Atlanta Hawks
2010-11,21000153,2010-11-16,Washington Wizards,WAS,Toronto Raptors,TOR,109,94,Washington Wizards
2010-11,21000154,2010-11-16,Memphis Grizzlies,MEM,Portland Trail Blazers,POR,99,100,Portland Trail Blazers
2010-11,21000155,2010-11-16,Milwaukee Bucks,MIL,Los Angeles Lakers,LAL,107,118,Los Angeles Lakers
2010-11,21000156,2010-11-16,Houston Rockets,HOU,Chicago Bulls,CHI,92,95,Chicago Bulls
2010-11,21000157,2010-11-16,Denver Nuggets,DEN,New York Knicks,NYK,120,118,Denver Nuggets
2010-11,21000158,2010-11-17,Miami Heat,MIA,Phoenix Suns,PHX,123,96,Miami Heat
2010-11,21000159,2010-11-17,Philadelphia 76ers,PHI,Toronto Raptors,TOR,86,94,Toronto Raptors
2010-11,21000160,2010-11-17,Boston Celtics,BOS,Washington Wizards,WAS,114,83,Boston Celtics
2010-11,21000161,2010-11-17,Detroit Pistons,DET,Los Angeles Lakers,LAL,90,103,Los Angeles Lakers
2010-11,21000162,2010-11-17,Minnesota Timberwolves,MIN,Los Angeles Clippers,LAC,113,111,Minnesota Timberwolves
2010-11,21000163,2010-11-17,New Orleans Hornets,NOH,Dallas Mavericks,DAL,99,97,New Orleans Hornets
2010-11,21000164,2010-11-17,Oklahoma City Thunder,OKC,Houston Rockets,HOU,116,99,Oklahoma City Thunder
2010-11,21000165,2010-11-17,Utah Jazz,UTA,New Jersey Nets,NJN,98,88,Utah Jazz
2010-11,21000166,2010-11-17,San Antonio Spurs,SAS,Chicago Bulls,CHI,103,94,San Antonio Spurs
2010-11,21000167,2010-11-17,Sacramento Kings,SAC,New York Knicks,NYK,106,113,New York Knicks
2010-11,21000168,2010-11-18,Indiana Pacers,IND,Los Angeles Clippers,LAC,107,80,Indiana Pacers
2010-11,21000169,2010-11-18,Orlando Magic,ORL,Phoenix Suns,PHX,105,89,Orlando Magic
2010-11,21000170,2010-11-18,Portland Trail Blazers,POR,Denver Nuggets,DEN,86,83,Portland Trail Blazers
2010-11,21000171,2010-11-19,Boston Celtics,BOS,Oklahoma City Thunder,OKC,84,89,Oklahoma City Thunder
2010-11,21000172,2010-11-19,Philadelphia 76ers,PHI,Milwaukee Bucks,MIL,90,79,Philadelphia 76ers
2010-11,21000173,2010-11-19,Toronto Raptors,TOR,Houston Rockets,HOU,106,96,Toronto Raptors
2010-11,21000174,2010-11-19,Washington Wizards,WAS,Memphis Grizzlies,MEM,89,86,Washington Wizards
2010-11,21000175,2010-11-19,Miami Heat,MIA,Charlotte Bobcats,CHA,95,87,Miami Heat
2010-11,21000176,2010-11-19,Minnesota Timberwolves,MIN,Los Angeles Lakers,LAL,95,112,Los Angeles Lakers
2010-11,21000177,2010-11-19,New Orleans Hornets,NOH,Cleveland Cavaliers,CLE,108,101,New Orleans Hornets
2010-11,21000178,2010-11-19,Utah Jazz,UTA,San Antonio Spurs,SAS,82,94,San Antonio Spurs
2010-11,21000179,2010-11-19,Dallas Mavericks,DAL,Chicago Bulls,CHI,83,88,Chicago Bulls
2010-11,21000180,2010-11-19,Sacramento Kings,SAC,New Jersey Nets,NJN,86,81,Sacramento Kings
2010-11,21000181,2010-11-19,Golden State Warriors,GSW,New York Knicks,NYK,119,125,New York Knicks
2010-11,21000182,2010-11-20,Charlotte Bobcats,CHA,Phoenix Suns,PHX,123,105,Charlotte Bobcats
2010-11,21000183,2010-11-20,Indiana Pacers,IND,Orlando Magic,ORL,86,90,Orlando Magic
2010-11,21000184,2010-11-20,Atlanta Hawks,ATL,Dallas Mavericks,DAL,93,98,Dallas Mavericks
2010-11,21000185,2010-11-20,Memphis Grizzlies,MEM,Miami Heat,MIA,97,95,Memphis Grizzlies
2010-11,21000186,2010-11-20,Milwaukee Bucks,MIL,Oklahoma City Thunder,OKC,81,82,Oklahoma City Thunder
2010-11,21000187,2010-11-20,San Antonio Spurs,SAS,Cleveland Cavaliers,CLE,116,92,San Antonio Spurs
2010-11,21000188,2010-11-20,Denver Nuggets,DEN,New Jersey Nets,NJN,107,103,Denver Nuggets
2010-11,21000189,2010-11-20,Portland Trail Blazers,POR,Utah Jazz,UTA,94,103,Utah Jazz
2010-11,21000190,2010-11-20,Los Angeles Clippers,LAC,New York Knicks,NYK,115,124,New York Knicks
2010-11,21000191,2010-11-21,Toronto Raptors,TOR,Boston Celtics,BOS,102,101,Toronto Raptors
2010-11,21000192,2010-11-21,Detroit Pistons,DET,Washington Wizards,WAS,115,110,Detroit Pistons
2010-11,21000193,2010-11-21,Sacramento Kings,SAC,New Orleans Hornets,NOH,71,75,New Orleans Hornets
2010-11,21000194,2010-11-21,Los Angeles Lakers,LAL,Golden State Warriors,GSW,117,89,Los Angeles Lakers
2010-11,21000195,2010-11-22,Atlanta Hawks,ATL,Boston Celtics,BOS,76,99,Boston Celtics
2010-11,21000196,2010-11-22,Miami Heat,MIA,Indiana Pacers,IND,77,93,Indiana Pacers
2010-11,21000197,2010-11-22,Oklahoma City Thunder,OKC,Minnesota Timberwolves,MIN,117,107,Oklahoma City Thunder
2010-11,21000198,2010-11-22,Houston Rockets,HOU,Phoenix Suns,PHX,116,123,Phoenix Suns
2010-11,21000199,2010-11-22,San Antonio Spurs,SAS,Orlando Magic,ORL,106,97,San Antonio Spurs
2010-11,21000200,2010-11-22,Utah Jazz,UTA,Sacramento Kings,SAC,94,83,Utah Jazz
2010-11,21000201,2010-11-22,Golden State Warriors,GSW,Denver Nuggets,DEN,89,106,Denver Nuggets
2010-11,21000202,2010-11-22,Los Angeles Clippers,LAC,New Orleans Hornets,NOH,99,95,Los Angeles Clippers
2010-11,21000203,2010-11-23,Indiana Pacers,IND,Cleveland Cavaliers,CLE,100,89,Indiana Pacers
2010-11,21000204,2010-11-23,New Jersey Nets,NJN,Atlanta Hawks,ATL,107,101,New Jersey Nets
2010-11,21000205,2010-11-23,Washington Wizards,WAS,Philadelphia 76ers,PHI,116,114,Washington Wizards
2010-11,21000206,2010-11-23,New York Knicks,NYK,Charlotte Bobcats,CHA,110,107,New York Knicks
2010-11,21000207,2010-11-23,Dallas Mavericks,DAL,Detroit Pistons,DET,88,84,Dallas Mavericks
2010-11,21000208,2010-11-23,Los Angeles Lakers,LAL,Chicago Bulls,CHI,98,91,Los Angeles Lakers
2010-11,21000209,2010-11-24,Charlotte Bobcats,CHA,New York Knicks,NYK,95,99,New York Knicks
2010-11,21000210,2010-11-24,Cleveland Cavaliers,CLE,Milwaukee Bucks,MIL,83,81,Cleveland Cavaliers
2010-11,21000211,2010-11-24,Toronto Raptors,TOR,Philadelphia 76ers,PHI,106,90,Toronto Raptors
2010-11,21000212,2010-11-24,Boston Celtics,BOS,New Jersey Nets,NJN,89,83,Boston Celtics
2010-11,21000213,2010-11-24,Orlando Magic,ORL,Miami Heat,MIA,104,95,Orlando Magic
2010-11,21000214,2010-11-24,Memphis Grizzlies,MEM,Detroit Pistons,DET,105,84,Memphis Grizzlies
2010-11,21000215,2010-11-24,Minnesota Timberwolves,MIN,San Antonio Spurs,SAS,109,113,San Antonio Spurs
2010-11,21000216,2010-11-24,Oklahoma City Thunder,OKC,Dallas Mavericks,DAL,103,111,Dallas Mavericks
2010-11,21000217,2010-11-24,Houston Rockets,HOU,Golden State Warriors,GSW,111,101,Houston Rockets
2010-11,21000218,2010-11-24,Phoenix Suns,PHX,Chicago Bulls,CHI,115,123,Chicago Bulls
2010-11,21000219,2010-11-24,Utah Jazz,UTA,New Orleans Hornets,NOH,105,87,Utah Jazz
2010-11,21000220,2010-11-25,Atlanta Hawks,ATL,Washington Wizards,WAS,116,96,Atlanta Hawks
2010-11,21000221,2010-11-25,Los Angeles Clippers,LAC,Sacramento Kings,SAC,100,82,Los Angeles Clippers
2010-11,21000222,2010-11-26,Charlotte Bobcats,CHA,Houston Rockets,HOU,99,89,Charlotte Bobcats
2010-11,21000223,2010-11-26,Orlando Magic,ORL,Cleveland Cavaliers,CLE,111,100,Orlando Magic
2010-11,21000224,2010-11-26,Boston Celtics,BOS,Toronto Raptors,TOR,110,101,Boston Celtics
2010-11,21000225,2010-11-26,Detroit Pistons,DET,Milwaukee Bucks,MIL,103,89,Detroit Pistons
2010-11,21000226,2010-11-26,Miami Heat,MIA,Philadelphia 76ers,PHI,99,90,Miami Heat
2010-11,21000227,2010-11-26,Indiana Pacers,IND,Oklahoma City Thunder,OKC,106,110,Oklahoma City Thunder
2010-11,21000228,2010-11-26,San Antonio Spurs,SAS,Dallas Mavericks,DAL,94,103,Dallas Mavericks
2010-11,21000229,2010-11-26,Denver Nuggets,DEN,Chicago Bulls,CHI,98,97,Denver Nuggets
2010-11,21000230,2010-11-26,Phoenix Suns,PHX,Los Angeles Clippers,LAC,116,108,Phoenix Suns
2010-11,21000231,2010-11-26,Utah Jazz,UTA,Los Angeles Lakers,LAL,102,96,Utah Jazz
2010-11,21000232,2010-11-26,Memphis Grizzlies,MEM,Golden State Warriors,GSW,116,111,Memphis Grizzlies
2010-11,21000233,2010-11-26,Portland Trail Blazers,POR,New Orleans Hornets,NOH,78,97,New Orleans Hornets
2010-11,21000234,2010-11-27,New York Knicks,NYK,Atlanta Hawks,ATL,90,99,Atlanta Hawks
2010-11,21000235,2010-11-27,Washington Wizards,WAS,Orlando Magic,ORL,99,100,Orlando Magic
2010-11,21000236,2010-11-27,Cleveland Cavaliers,CLE,Memphis Grizzlies,MEM,92,86,Cleveland Cavaliers
2010-11,21000237,2010-11-27,Philadelphia 76ers,PHI,New Jersey Nets,NJN,102,86,Philadelphia 76ers
2010-11,21000238,2010-11-27,Minnesota Timberwolves,MIN,Golden State Warriors,GSW,94,104,Golden State Warriors
2010-11,21000239,2010-11-27,Dallas Mavericks,DAL,Miami Heat,MIA,106,95,Dallas Mavericks
2010-11,21000240,2010-11-27,Milwaukee Bucks,MIL,Charlotte Bobcats,CHA,104,101,Milwaukee Bucks
2010-11,21000241,2010-11-27,Sacramento Kings,SAC,Chicago Bulls,CHI,85,96,Chicago Bulls
2010-11,21000242,2010-11-28,Toronto Raptors,TOR,Atlanta Hawks,ATL,78,96,Atlanta Hawks
2010-11,21000243,2010-11-28,Detroit Pistons,DET,New York Knicks,NYK,116,125,New York Knicks
2010-11,21000244,2010-11-28,New Orleans Hornets,NOH,San Antonio Spurs,SAS,95,109,San Antonio Spurs
2010-11,21000245,2010-11-28,Los Angeles Clippers,LAC,Utah Jazz,UTA,97,109,Utah Jazz
2010-11,21000246,2010-11-28,New Jersey Nets,NJN,Portland Trail Blazers,POR,98,96,New Jersey Nets
