SEASON_END_YEAR,TEAM_ABBREVIATION,PLAYERS,TOTAL_MINUTES,TOTAL_GAMES_PLAYER_SUM,AVG_AGE,TOTAL_RAPTOR_WAR,Raptor_O,Raptor_D,RaptorPLUS_MINUS,TSPCT,USGPCT,ASTPCT,TOVPCT,ORBPCT,DRBPCT,TRBPCT,STLPCT,BLKPCT,ORtg,DRtg,2PPCT,3PPCT,FTPCT,3PAr,FTAr,Pace_PLUS_MINUS
2010,UTA,15,19757,834,24.667,41.8,0.742,0.674,1.417,56.428,19.865,17.07,13.418,5.364,15.103,10.368,1.743,1.629,110.807,105.239,51.515,26.31,73.98,18.408,34.141,0.004
2010,WAS,24,19832,858,27.208,14.97,-0.765,-0.531,-1.267,52.802,19.848,13.144,14.208,5.522,14.483,9.941,1.294,1.623,104.724,109.608,47.503,26.244,76.318,17.846,28.505,0.077
2011,ATL,17,19730,842,27.471,24.69,-0.234,-0.034,-0.268,54.349,19.819,15.462,12.875,4.696,14.918,9.843,1.352,1.332,107.121,107.345,48.528,34.999,77.029,21.605,28.975,0.002
2011,BOS,21,19780,835,27.905,40.96,-0.13,1.448,1.322,55.769,19.81,15.75,13.989,4.213,14.945,9.885,1.807,1.336,106.902,100.475,51.396,24.818,76.115,17.055,31.007,0.033
2011,CHA,19,19804,855,26.842,16.6,-0.843,-0.273,-1.102,52.698,19.83,15.072,13.469,5.152,15.056,10.062,1.412,1.765,104.43,108.076,48.057,22.957,74.772,17.852,32.1,-0.046
2011,CHI,15,19830,850,27.467,45.78,0.33,1.437,1.804,54.06,19.873,15.661,13.04,5.884,15.246,10.692,1.593,1.787,109.686,100.317,48.996,28.305,72.396,21.008,31.606,-0.182
2011,CLE,19,19753,827,26.211,4.01,-1.164,-1.164,-2.347,52.013,19.918,15.097,12.933,4.843,14.651,9.623,1.43,1.324,102.694,112.048,46.062,23.269,75.379,22.161,31.927,0.05
2011,DAL,18,19705,866,28.444,39.33,0.566,0.613,1.179,56.633,19.91,15.821,13.791,4.813,14.977,10.093,1.484,1.351,111.093,105.017,49.254,27.219,79.284,28.909,32.018,-0.088
2011,DEN,19,19705,802,27.211,40.21,1.112,0.155,1.254,57.662,19.941,14.433,12.949,4.773,15.084,10.07,1.534,1.353,113.079,107.494,50.632,31.671,75.591,24.73,37.957,0.134
2011,DET,13,19881,836,27.231,17.43,0.034,-1.078,-1.02,52.962,19.84,14.294,12.204,5.473,14.428,9.736,1.62,1.326,108.184,111.898,47.786,29.237,71.359,16.822,29.498,-0.182
2011,GSW,17,19831,833,25.824,22.23,0.13,-0.685,-0.569,53.955,19.908,14.605,13.045,5.335,13.853,9.511,1.874,1.544,108.554,110.778,48.153,29.605,73.863,23.446,23.747,-0.013
